ssm,Education,Earnings,Prestige,Status,DSEI,TSEI,MSEI,FSEI,TSEI_E,MSEI_E,FSEI_E,TSEI_I,MSEI_I,FSEI_I,OPR,OEP,SIOPS,ISEI,ICAMS,GOEP
511,14.565899585713836,5.812547393333296,59.7,54.00000000000001,57.290606999999994,51.972382575000005,NA,52.79830175,56.26366708125,NA,56.08604375,49.453218643750006,NA,52.12726975,62.92027125164225,71,54.00000000000001,43,63.21,67
512,14.764840158251276,5.845434798881069,59.7,65.900002,59.321617,53.975744975000005,63.470686625,54.349123999999996,56.76289120625,54.179671125,56.66983425,50.39932651875,59.4451025,52.855629625000006,66.29221976529386,71,54,43,63.209999999999994,67
513,14.696029949463448,5.616670058643712,59.7,56.099998,56.443501,49.6279721125,56.99883912500001,50.34910437500001,57.633052981249996,56.19282237499999,57.582120875,45.38024448125,55.160376125,48.078355125,69.0209825009246,52,52,51,58.95000000000001,43
514,13.990400928262964,5.755359555265279,59.7,48,53.877853,48.44688205,55.06016425,49.7943785,52.98497373125,52.30285325,52.90113,48.377942425,57.278105625,50.6201165,54.070373342933635,58,54,43,63.21,67
515,14.142386499718098,5.3179969005284775,59.7,61.200001,51.340527,45.8604352625,49.2969065,40.250755749999996,52.603860575,53.356139875,50.63240175,43.14161265,48.222626500000004,38.800877,56.3896268359507,37,51,59.99999999999999,60.63,46
516,14.405941318655291,5.689509417555674,59.7,56.260998716757456,55.207753701456404,49.70079723988877,56.2925614924484,47.94971418759684,54.55990801394971,53.45808609871971,54.8942616931044,47.8319487978107,56.983046271140495,46.7117357680222,60.2985019661316,56.43435068075719,48.8656242998177,52.51736791128416,59.17178901228217,42.202944793761525
517,16.745151947573866,6.734382013134189,86.9,76.099998,73.586945,78.7368071375,78.819811625,68.622807875,65.93318193125,65.08681925,67.779639625,67.931467225,70.92257225,59.171455125,88.41058352188149,90,73,85.00000000000001,80.43,87
518,15.4895707272891,6.163444431627668,70.8,69.44823002543394,65.40818996427332,61.339410897075574,62.107297253304075,55.95519646644874,53.18290297512572,53.15249325902921,53.86146560094367,54.49337910495096,58.0431072983587,51.473525574236625,74.51472622186559,79.05403691306027,71.00000000000001,82,80.43000000000002,81
519,15.807148351154275,6.502878811557784,70.8,70.4438984266946,70.36295358569618,67.32911087057217,68.96187904217588,58.670413690755254,54.289406830591524,54.999221722514456,53.74260466100421,61.838945440008416,65.5950175899721,54.77391084710552,78.13012503123802,85.30083411365872,62,69,68.4,79
520,14.416686520802964,5.541716649716954,58.3,59.099998,55.47633,47.62604244375,62.738330375,48.17615775000001,56.58839573125,55.239309,56.522528,44.502039987500005,59.50465887499999,46.968675125,66.85585277496423,44,48.99999999999999,43,63.79,48
521,15.885772710745456,6.26906669675936,63.6,64.800003,69.164993,69.2655573625,76.389579,65.64593625,80.5989924375,106.75552,72.363131125,57.7145934125,64.620320125,57.779275125,81.73199077176334,73,57,66,63.79,53
