gender,occ,jtitle,num
Women,121,物品一時預り人,830
Men,122,物品賃貸人,39200
Women,122,物品賃貸人,31140
Men,123,広告宣伝員,9050
Women,123,広告宣伝員,19560
Men,124,葬儀師，火葬作業員,25980
Women,124,葬儀師，火葬作業員,20930
Men,125,他に分類されないサービス職業従事者,55710
Women,125,他に分類されないサービス職業従事者,310070
Men,126,自衛官,215960
Women,126,自衛官,15480
Men,127,警察官，海上保安官,228790
Women,127,警察官，海上保安官,23810
Men,128,看守，その他の司法警察職員,13330
Women,128,看守，その他の司法警察職員,1420
Men,129,消防員,144880
Women,129,消防員,3360
Men,130,警備員,355360
Women,130,警備員,15360
Men,131,他に分類されない保安職業従事者,67510
Women,131,他に分類されない保安職業従事者,10210
Men,132,農耕従事者,976150
Women,132,農耕従事者,710500
Men,133,養畜従事者,104830
Women,133,養畜従事者,56330
Men,134,植木職，造園師,121640
Women,134,植木職，造園師,9680
Men,135,その他の農業従事者,4870
Women,135,その他の農業従事者,930
Men,136,育林従事者,18160
Women,136,育林従事者,1240
Men,137,伐木・造材・集材従事者,20210
Women,137,伐木・造材・集材従事者,690
Men,138,その他の林業従事者,4310
Women,138,その他の林業従事者,820
Men,139,漁労従事者,66540
Women,139,漁労従事者,9500
Men,140,船長・航海士・機関長・機関士（漁労船）,9410
Women,140,船長・航海士・機関長・機関士（漁労船）,30
Men,141,海藻・貝採取従事者,10280
Women,141,海藻・貝採取従事者,4000
Men,142,水産養殖従事者,25590
Women,142,水産養殖従事者,12270
Men,143,その他の漁業従事者,1160
Women,143,その他の漁業従事者,3210
Men,144,製銑・製鋼・非鉄金属製錬従事者,37000
Women,144,製銑・製鋼・非鉄金属製錬従事者,1200
Men,145,鋳物製造・鍛造従事者,41920
Women,145,鋳物製造・鍛造従事者,1890
Men,146,金属工作機械作業従事者,149960
Women,146,金属工作機械作業従事者,11970
Men,147,金属プレス従事者,59090
Women,147,金属プレス従事者,10210
Men,148,鉄工，製缶従事者,51320
Women,148,鉄工，製缶従事者,1730
Men,149,板金従事者,79880
Women,149,板金従事者,3970
Men,150,金属彫刻・表面処理従事者,34430
Women,150,金属彫刻・表面処理従事者,4470
Men,151,金属溶接・溶断従事者,175950
Women,151,金属溶接・溶断従事者,6370
Men,152,その他の製品製造・加工処理従事者（金属製品）,412900
Women,152,その他の製品製造・加工処理従事者（金属製品）,65090
Men,153,化学製品製造従事者,157210
Women,153,化学製品製造従事者,46470
Men,154,窯業・土石製品製造従事者,128280
Women,154,窯業・土石製品製造従事者,23510
Men,155,食料品製造従事者,488070
Women,155,食料品製造従事者,748650
Men,156,飲料・たばこ製造従事者,33420
Women,156,飲料・たばこ製造従事者,10680
Men,157,紡織・衣服・繊維製品製造従事者,104520
Women,157,紡織・衣服・繊維製品製造従事者,219470
Men,158,木・紙製品製造従事者,237710
Women,158,木・紙製品製造従事者,64400
Men,159,印刷・製本従事者,151370
Women,159,印刷・製本従事者,56910
Men,160,ゴム・プラスチック製品製造従事者,221840
Women,160,ゴム・プラスチック製品製造従事者,78930
Men,161,その他の製品製造・加工処理従事者（金属製品を除く）,174270
Women,161,その他の製品製造・加工処理従事者（金属製品を除く）,140800
Men,162,はん用・生産用・業務用機械器具組立従事者,278910
Women,162,はん用・生産用・業務用機械器具組立従事者,50890
Men,163,電気機械器具組立従事者,333120
Women,163,電気機械器具組立従事者,167370
Men,164,自動車組立従事者,285240
Women,164,自動車組立従事者,47920
Men,165,輸送機械組立従事者（自動車を除く）,50990
Women,165,輸送機械組立従事者（自動車を除く）,4430
Men,166,計量計測機器・光学機械器具組立従事者,33260
Women,166,計量計測機器・光学機械器具組立従事者,18270
Men,167,はん用・生産用・業務用機械器具整備・修理従事者,365010
Women,167,はん用・生産用・業務用機械器具整備・修理従事者,8860
Men,168,電気機械器具整備・修理従事者,94120
Women,168,電気機械器具整備・修理従事者,6480
Men,169,自動車整備・修理従事者,398620
Women,169,自動車整備・修理従事者,6610
Men,170,輸送機械整備・修理従事者（自動車を除く）,58420
Women,170,輸送機械整備・修理従事者（自動車を除く）,1390
Men,171,計量計測機器・光学機械器具整備・修理従事者,11430
Women,171,計量計測機器・光学機械器具整備・修理従事者,1550
Men,172,金属製品検査従事者,44490
Women,172,金属製品検査従事者,33690
Men,173,化学製品検査従事者,16920
Women,173,化学製品検査従事者,19840
Men,174,窯業・土石製品検査従事者,14160
Women,174,窯業・土石製品検査従事者,6560
Men,175,食料品検査従事者,16790
Women,175,食料品検査従事者,31860
Men,176,飲料・たばこ検査従事者,2120
Women,176,飲料・たばこ検査従事者,3080
Men,177,紡織・衣服・繊維製品検査従事者,5810
Women,177,紡織・衣服・繊維製品検査従事者,23800
Men,178,木・紙製品検査従事者,5030
Women,178,木・紙製品検査従事者,7960
Men,179,印刷・製本検査従事者,4570
Women,179,印刷・製本検査従事者,9000
Men,180,ゴム・プラスチック製品検査従事者,22980
Women,180,ゴム・プラスチック製品検査従事者,55150
Men,181,その他の製品検査従事者,13750
Women,181,その他の製品検査従事者,17450
Men,182,はん用・生産用・業務用機械器具検査従事者,33220
Women,182,はん用・生産用・業務用機械器具検査従事者,18770
Men,183,電気機械器具検査従事者,63080
Women,183,電気機械器具検査従事者,62400
Men,184,自動車検査従事者,51510
Women,184,自動車検査従事者,26070
Men,185,輸送機械検査従事者（自動車を除く）,9120
Women,185,輸送機械検査従事者（自動車を除く）,1240
Men,186,計量計測機器・光学機械器具検査従事者,6650
Women,186,計量計測機器・光学機械器具検査従事者,7100
Men,187,画工，塗装・看板制作従事者,217660
Women,187,画工，塗装・看板制作従事者,22530
Men,188,生産関連作業従事者（画工，塗装・看板制作を除く）,206830
Women,188,生産関連作業従事者（画工，塗装・看板制作を除く）,78840
Men,189,生産類似作業従事者,40320
Women,189,生産類似作業従事者,20760
Men,190,鉄道運転従事者,35690
Women,190,鉄道運転従事者,1120
Men,191,自動車運転従事者,1458520
Women,191,自動車運転従事者,45240
Men,192,船長・航海士・運航士（漁労船を除く），水先人,14500
Women,192,船長・航海士・運航士（漁労船を除く），水先人,240
Men,193,船舶機関長・機関士（漁労船を除く）,6580
Women,193,船舶機関長・機関士（漁労船を除く）,20
Men,194,航空機操縦士,5770
Women,194,航空機操縦士,10
Men,195,車掌,17800
Women,195,車掌,7240
Men,196,甲板員，船舶技士・機関員,13660
Women,196,甲板員，船舶技士・機関員,120
Men,197,他に分類されない輸送従事者,87090
Women,197,他に分類されない輸送従事者,2670
Men,198,発電員，変電員,34680
Women,198,発電員，変電員,180
Men,199,ボイラー・オペレーター,10080
Women,199,ボイラー・オペレーター,70
Men,200,クレーン・ウインチ運転従事者,49490
Women,200,クレーン・ウインチ運転従事者,280
Men,201,建設・さく井機械運転従事者,92300
Women,201,建設・さく井機械運転従事者,530
Men,202,その他の定置・建設機械運転従事者,160640
Women,202,その他の定置・建設機械運転従事者,2770
Men,203,型枠大工,45390
Women,203,型枠大工,630
Men,204,とび職,106940
Women,204,とび職,900
Men,205,鉄筋作業従事者,32000
Women,205,鉄筋作業従事者,520
Men,206,大工,350430
Women,206,大工,3550
Men,207,ブロック積・タイル張従事者,27000
Women,207,ブロック積・タイル張従事者,810
Men,208,屋根ふき従事者,19760
Women,208,屋根ふき従事者,800
Men,209,左官,72100
Women,209,左官,1540
Men,210,畳職,13160
Women,210,畳職,1450
Men,211,配管従事者,232850
Women,211,配管従事者,3330
Men,212,土木従事者,506610
Women,212,土木従事者,8160
Men,213,鉄道線路工事従事者,24560
Women,213,鉄道線路工事従事者,0
Men,214,その他の建設・土木作業従事者,576440
Women,214,その他の建設・土木作業従事者,22320
Men,215,電線架線・敷設従事者,46220
Women,215,電線架線・敷設従事者,420
Men,216,電気通信設備工事従事者,83670
Women,216,電気通信設備工事従事者,2340
Men,217,その他の電気工事従事者,369130
Women,217,その他の電気工事従事者,5560
Men,218,砂利・砂・粘土採取従事者,830
Women,218,砂利・砂・粘土採取従事者,10
Men,219,その他の採掘従事者,2610
Women,219,その他の採掘従事者,90
Men,220,郵便・電報外務員,108870
Women,220,郵便・電報外務員,12030
Men,221,船内・沿岸荷役従事者,16870
Women,221,船内・沿岸荷役従事者,300
Men,222,陸上荷役・運搬従事者,170190
Women,222,陸上荷役・運搬従事者,56290
Men,223,倉庫作業従事者,171460
Women,223,倉庫作業従事者,73820
Men,224,配達員,522640
Women,224,配達員,194380
Men,225,荷造従事者,111110
Women,225,荷造従事者,137170
Men,226,ビル・建物清掃員,237690
Women,226,ビル・建物清掃員,580480
Men,227,廃棄物処理従事者,108120
Women,227,廃棄物処理従事者,6870
Men,228,ハウスクリーニング職,13110
Women,228,ハウスクリーニング職,9260
Men,229,その他の清掃従事者,81040
Women,229,その他の清掃従事者,30380
Men,230,包装従事者,67410
Women,230,包装従事者,191310
Men,231,その他の運搬・清掃・包装等従事者,447960
Women,231,その他の運搬・清掃・包装等従事者,558240
Men,232,分類不能の職業,1716790
Women,232,分類不能の職業,1277160
